player,n_shots,hh_raw,hh_adj,pval
Eric Bledsoe,434,0.03416503046324974,-0.001279780052328901,0.6877291185814955
Avery Bradley,520,0.030913537639374294,0.002785129170616036,0.3235561972385679
Greivis Vasquez,455,-0.006956957108466754,-0.011754296955102666,0.00035105689205290293
Lance Stephenson,467,0.012456359476524325,-0.017243740545091972,6.324066156507191e-08
Timofey Mozgov,419,-0.0009160371415039459,0.002653226160036873,0.4033767509652537
Jeremy Lin,328,0.015713059927116236,0.009886512150472055,0.006973148630665985
Vince Carter,306,-0.04676463792224899,-0.028626693807008396,8.784356868474335e-12
Dirk Nowitzki,784,0.04644422598022953,-0.03615319118843183,1.6226730443581266e-31
Paul Pierce,456,0.026972770058149794,-0.01658070643044372,1.2485706547436526e-06
Manu Ginobili,212,-0.007532356740547612,-0.028995002564702776,1.196141958652519e-09
Isaiah Thomas,303,-0.016450972441870344,-0.05104666342596484,2.851838521711902e-25
Kyrie Irving,610,0.018025188845696982,-0.03835319744086365,2.2993829230571366e-26
Enes Kanter,715,0.05592483239145865,0.0032729554247096187,0.16212671249522123
Tristan Thompson,458,0.03881188936579295,0.022575973312656848,1.755133389744991e-11
Jonas Valanciunas,546,0.03223921734133263,-0.005408362000330256,0.05870785442663839
Brandon Knight,551,0.02348999860631952,-0.006214905418610848,0.004429539169788471
Kemba Walker,333,0.04503211228979467,0.02714459054141119,8.271978280934545e-13
Klay Thompson,787,0.012916519952831789,-0.0032270341376371874,0.14355640368816963
Alec Burks,275,0.03056429351555544,0.0063020486134106645,0.11934626147715834
Markieff Morris,566,0.07920651287019834,0.016779133990200076,1.3221124982936612e-08
Marcus Morris,393,0.06293932186706219,0.015016941676975466,1.351112324873776e-06
Kawhi Leonard,514,0.06917144415974166,0.0009651259800526313,0.6932598662561069
Nikola Vucevic,644,0.04445068158244531,-0.017801453859441943,1.2049517409565053e-10
Tobias Harris,558,0.031098398384856132,-0.008176975475229283,0.0023372278209313965
Kenneth Faried,572,0.029046850799860895,0.009874222351275158,5.409182919088411e-05
Reggie Jackson,445,0.023972171586815104,0.003179799747027926,0.2686664169486504
Jimmy Butler,448,0.005225192184596785,0.0023777929212700404,0.3999628843597558
Chandler Parsons,651,0.01720627921680281,0.0022068235458064345,0.383939045511963
Jamal Crawford,331,-0.02912582799139298,-0.06575655818019077,3.268994213334394e-31
Andrew Wiggins,343,-0.03818442277483542,-0.05915027633345518,8.104576535355811e-32
