player,n_shots,p_data,p_sim,pval
Timofey Mozgov , 75 , 0.56 , 0.5170207239308936 , 0.234
Jeremy Lin , 55 , 0.45454545454545453 , 0.3911088657588642 , 0.20400000000000001
Vince Carter , 27 , 0.2222222222222222 , 0.38084405116292636 , 0.9480000000000001
Dirk Nowitzki , 130 , 0.4461538461538462 , 0.46459475901201813 , 0.66
Paul Pierce , 77 , 0.4935064935064935 , 0.400703129968505 , 0.076
Manu Ginobili , 19 , 0.3684210526315789 , 0.4158052702855946 , 0.704
Isaiah Thomas , 37 , 0.3783783783783784 , 0.44645899418431234 , 0.846
Kyrie Irving , 95 , 0.47368421052631576 , 0.39981912315116186 , 0.098
Enes Kanter , 160 , 0.5 , 0.44353622344470484 , 0.124
Tristan Thompson , 85 , 0.5411764705882353 , 0.4446298598981762 , 0.074
Jonas Valanciunas , 121 , 0.5702479338842975 , 0.528883774079495 , 0.22
Brandon Knight , 83 , 0.37349397590361444 , 0.3991866111112506 , 0.666
Kemba Walker , 62 , 0.5161290322580645 , 0.3517161106222319 , 0.016
Klay Thompson , 147 , 0.42857142857142855 , 0.4432570155765068 , 0.61
Alec Burks , 42 , 0.42857142857142855 , 0.41352428815064196 , 0.462
Markieff Morris , 120 , 0.44166666666666665 , 0.4147431531731052 , 0.31
Marcus Morris , 66 , 0.3939393939393939 , 0.3876248469303794 , 0.5
Kawhi Leonard , 103 , 0.4563106796116505 , 0.43787639697951775 , 0.392
Nikola Vucevic , 138 , 0.45652173913043476 , 0.47020995192555104 , 0.618
Tobias Harris , 97 , 0.422680412371134 , 0.42901761847431835 , 0.558
Kenneth Faried , 134 , 0.5522388059701493 , 0.5329411399401549 , 0.332
Reggie Jackson , 77 , 0.42857142857142855 , 0.4559810561655822 , 0.66
Jimmy Butler , 58 , 0.39655172413793105 , 0.3836044206710953 , 0.438
Chandler Parsons , 127 , 0.49606299212598426 , 0.4418466981245836 , 0.122
Jamal Crawford , 37 , 0.21621621621621623 , 0.3850498543895538 , 0.978
Andrew Wiggins , 53 , 0.4716981132075472 , 0.4046275765372388 , 0.198
